id,y_2012,y_2013,y_2014,y_2015
Stadium Heights,0.65452999,0.65452999,0.65452999,0.65452999
Stonehill Estates,0.179869454,0.179869454,0.179869454,0.179869454
Summer Meadow,0.164217556,0.164217556,0.164217556,0.164217556
Treyburn,3.385858863,3.385858863,3.385858863,3.385858863
Trinity Heights,0.0516685,0.0516685,0.0516685,0.0516685
Trinity Park,0.528958705,0.528958705,0.528958705,0.528958705
Tuscaloosa-Lakewood,0.348136484,0.348136484,0.348136484,0.348136484
Walltown,0.30965666,0.30965666,0.30965666,0.30965666
Watts Hospital-Hillandale,1.219707127,1.219707127,1.219707127,1.219707127
Woodcroft,0.806436768,0.806436768,0.806436768,0.806436768
Woodlake,0.455753707,0.455753707,0.455753707,0.455753707
Burch Avenue,0.153320599,0.153320599,0.153320599,0.153320599
Pine Valley,0.302720903,0.302720903,0.302720903,0.302720903
Wellons Village,0.158367512,0.158367512,0.158367512,0.158367512
Wynstead,0.038595977,0.038595977,0.038595977,0.038595977
Wellington Forest,0.151702415,0.151702415,0.151702415,0.151702415
Southside / St. Teresa,0.240767683,0.240767683,0.240767683,0.240767683
Pleasant Drive,0.422748113,0.422748113,0.422748113,0.422748113
West End,0.340111434,0.340111434,0.340111434,0.340111434
Parkside,0.056731412,0.056731412,0.056731412,0.056731412
Placid Valley,0.14525929,0.14525929,0.14525929,0.14525929
Pleasant Green Woods,0.607097737,0.607097737,0.607097737,0.607097737
Preston Avenue,0.028296963,0.028296963,0.028296963,0.028296963
Preston Woods,0.122573798,0.122573798,0.122573798,0.122573798
Providence Ridge,0.02788654,0.02788654,0.02788654,0.02788654
Rigsbee Hill,0.004915726,0.004915726,0.004915726,0.004915726
Rivers Edge,0.041204425,0.041204425,0.041204425,0.041204425
Rougemont,0.707389429,0.707389429,0.707389429,0.707389429
Rustica Oaks,0.040934281,0.040934281,0.040934281,0.040934281
Sheridan Drive,0.049111386,0.049111386,0.049111386,0.049111386
Southampton,0.046755614,0.046755614,0.046755614,0.046755614
Southpoint Manor,0.113160041,0.113160041,0.113160041,0.113160041
South Terrace at Auburn,0.039950453,0.039950453,0.039950453,0.039950453
Spring Valley,0.290795917,0.290795917,0.290795917,0.290795917
Solterra,0.051842253,0.051842253,0.051842253,0.051842253
Stephens Woods,0.191333549,0.191333549,0.191333549,0.191333549
Sterling Ridge,0.025748437,0.025748437,0.025748437,0.025748437
Stillwood,0.0644764,0.0644764,0.0644764,0.0644764
Stirrup Creek,0.084726787,0.084726787,0.084726787,0.084726787
Stratford Lakes,0.13430646,0.13430646,0.13430646,0.13430646
Sunningdale,0.046822767,0.046822767,0.046822767,0.046822767
Surrey Green,0.101964525,0.101964525,0.101964525,0.101964525
Swallows Ridge,0.008529487,0.008529487,0.008529487,0.008529487
Swanns Mill,0.15631028,0.15631028,0.15631028,0.15631028
Taylor Estates,0.033004238,0.033004238,0.033004238,0.033004238
Thaxton,0.033487055,0.033487055,0.033487055,0.033487055
The Hills at Southpoint,0.147656258,0.147656258,0.147656258,0.147656258
The Landing at Southpoint,0.01728921,0.01728921,0.01728921,0.01728921
Trinity Commons,0.009174882,0.009174882,0.009174882,0.009174882
Trotter Ridge,0.11712019,0.11712019,0.11712019,0.11712019
Urban 900,0.00967626,0.00967626,0.00967626,0.00967626
Valley Run,0.07278311,0.07278311,0.07278311,0.07278311
Valleybrook,0.183233221,0.183233221,0.183233221,0.183233221
Vantage Pointe,0.120194227,0.120194227,0.120194227,0.120194227
Walden Pond,0.047710848,0.047710848,0.047710848,0.047710848
Warehouse District,0.142428371,0.142428371,0.142428371,0.142428371
Waterford,0.174589033,0.174589033,0.174589033,0.174589033
Welcome Circle,0.074224525,0.074224525,0.074224525,0.074224525
West Hills,0.20844604,0.20844604,0.20844604,0.20844604
West Murray / Broad,0.024545688,0.024545688,0.024545688,0.024545688
Westgate Townes,0.008857987,0.008857987,0.008857987,0.008857987
Westwood Estates,0.190016765,0.190016765,0.190016765,0.190016765
Whitney Park,0.01474364,0.01474364,0.01474364,0.01474364
Willow Hill,0.226282977,0.226282977,0.226282977,0.226282977
Willowhaven,0.830753167,0.830753167,0.830753167,0.830753167
Windsor Oaks,0.06110529,0.06110529,0.06110529,0.06110529
Woodstone at Croasdaile Farm,0.026658087,0.026658087,0.026658087,0.026658087
Woodwinds,0.025520587,0.025520587,0.025520587,0.025520587
Wynterfield,0.102496148,0.102496148,0.102496148,0.102496148
Franklin Village,0.028466705,0.028466705,0.028466705,0.028466705
Mary Dell,0.155097432,0.155097432,0.155097432,0.155097432
Auburn Hills,0.124053929,0.124053929,0.124053929,0.124053929
