id,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
370630020132,98500,121500,121500,137000,135000,136000,138500,146000,135000,140000,153000,142000,167000,149500,158250,165000
370630020133,169500,169500,168500,179000,187250,198000,204000,172500,208000,194000,197500,196000,180000,176000,210000,230000
370630020151,136000,143000,145000,141000,146250,163250,165000,156500,158000,144500,149250,155500,163000,165000,171500,205000
370630020152,137000,141250,148750,146000,155000,172500,165000,165000,171250,174000,162000,169000,179000,167500,188500,203000
370630020153,,,,129000,,198500,94000,,,,,,,,151500,325000
370630020161,,,,,,,,,,,,,,,,
370630020162,143000,129000,120000,108500,174000,103750,113000,244500,116000,260000,196500,134000,360000,350000,396500,250000
370630020171,253500,247000,244250,236000,292500,341250,379000,353000,317500,304000,300500,296000,324000,322500,350000,332500
370630020172,210500,242500,252000,191500,221500,226750,225000,275000,285500,295000,266250,224000,188000,300000,268000,285000
370630020173,240000,275500,285000,310000,292500,304000,307750,310000,290000,307500,220000,238066,265000,245500,341500,252250
370630020181,215500,266000,236000,251500,373750,572500,338500,685000,471500,434500,478250,480000,558500,443750,278750,545000
370630020182,125000,126750,131250,130000,178000,171250,160000,161500,169000,147500,180000,296000,318000,160000,148000,165000
370630020183,213000,256000,254000,242500,264250,289000,337000,273750,268000,325500,310000,293500,297500,315000,303000,320000
370630020191,115000,117750,124500,779000,521500,514000,562750,550000,625000,593500,582500,558000,580000,568000,557500,482000
370630020192,255000,255000,192500,437500,309000,293000,292000,244000,308000,400000,415500,414250,460250,354000,482500,454750
370630020193,229000,215000,228250,243500,237500,263000,280000,284000,240000,276000,267000,275000,280000,260500,279000,288000
370630020201,149750,201250,274000,274500,299500,326500,332750,307500,276500,287937,282000,295000,280500,292500,312000,322750
370630020202,241750,259750,261250,244250,269500,324741,343500,327000,359000,332750,310000,288500,370250,325000,366000,391000
370630020211,209500,209000,217500,210000,238750,250750,258000,264000,238000,255000,240000,235500,234500,254000,245000,265000
370630020212,174500,260500,256750,262500,240000,198250,210500,215000,198000,240000,215000,200500,228000,275000,268500,274000
370630020221,154000,164000,172000,163000,170500,173750,181500,177500,195000,187000,187000,168500,162000,167000,191750,214500
370630020222,158750,168000,175000,174500,180000,197750,198000,195000,196000,209500,196500,190500,193000,191750,216500,218250
370630020231,170750,165750,198250,176000,200000,196000,224250,230000,205000,208500,183000,202000,200000,215000,218500,253000
370630020232,167000,184250,178635,207000,198250,208500,215750,215000,229500,226000,208000,215000,211000,231000,209500,264000
370630020241,181000,180000,152500,184500,174750,181000,184000,197500,182000,190000,177000,200000,210000,214750,212000,230000
370630020242,123500,128000,131000,131000,141000,140000,143250,147000,140000,140000,135000,122500,140000,133500,138000,155750
370630020243,135000,134000,135250,127000,144000,147500,163000,151750,120500,126500,157500,124625,136000,136750,132000,152500
370630020251,149500,166750,155000,170000,175500,203000,204500,205000,207000,207500,181750,185500,183000,203500,208000,215000
370630020252,130000,139250,156000,183500,151000,191500,192000,163750,157000,178000,179000,166750,174500,159841,155500,207750
370630020253,128750,129000,131000,136000,140000,134000,142000,146000,143750,145500,148750,147750,141000,132250,147750,163250
370630020261,94000,116250,153500,145250,125000,108750,124000,153000,154500,151500,133250,134000,140000,136250,139000,147500
370630020262,122500,120000,117000,136750,149000,151000,151750,152750,159000,139000,130000,130500,138250,129000,144500,151000
370630020271,108500,123500,126500,112500,134500,126000,148000,176750,192000,180250,175000,163500,189000,158750,192250,224000
370630020272,140000,147000,168750,167250,191000,183250,188500,182000,190000,182371,181000,167500,172000,180500,197500,203500
370630020273,,,,,,,,,,,,,130000,,3168000,
370630020281,151500,150000,136000,171500,168000,159000,161500,170000,171500,176000,187500,181500,194000,190000,199000,239000
370630020282,90000,,,134000,,194000,,208000,291750,380500,406500,403000,453500,443500,365000,410000
370630020283,,,,1000000,130000,,236500,206000,206000,206000,179000,196500,198000,225000,227000,248000
370630021001,230500,219000,316000,278500,254250,281000,318750,257000,253000,326643,255500,270750,225000,268750,299750,327500
370630021002,152000,173250,183676,166000,146750,175000,220000,202500,189094,226000,171119,171500,264000,203750,256750,245000
370630021003,215000,238000,150000,260250,205500,206000,257000,230000,250000,233186,225000,166000,233000,215500,245000,245000
370630022001,75000,84250,72750,71500,75250,88000,202750,81000,173000,235000,33500,150000,209750,207500,288000,293000
370630023001,52500,54000,47600,62000,58500,36000,48750,31500,22500,28250,22750,30000,41250,62500,195000,204500
370630023002,52500,65000,64000,58700,38250,704500,,104500,81000,81500,98000,,,83000,975000,35630
370639801001,,,,,,,,,,,,,,,,
